RENT_STATION_NAME,06~09,09~12,12~15,15~18,18~21,기타
구로2동_001_5,0,4,4,51,39,4
구로2동_001_6,29,15,14,65,30,7
구로2동_011_1,10,14,8,38,47,9
구로2동_022_1,20,8,1,9,12,4
구로2동_033_1,7,1,0,1,5,0
구로2동_033_2,13,2,4,8,12,7
구로3동_006_1,10,16,45,69,97,29
구로3동_014_1,28,19,20,17,65,29
구로3동_034_1,106,47,59,80,175,81
구로3동_034_2,11,30,19,23,75,40
구로3동_037_1,28,23,14,43,20,8
구로3동_037_2,2,17,17,58,114,6
구로4동_002_1,22,18,7,12,25,6
구로4동_002_2,34,30,28,52,75,35
구로4동_007_1,25,4,13,11,14,17
구로4동_024_1,11,3,4,11,20,7
구로5동_001_1,37,24,15,29,81,18
구로5동_001_2,17,21,18,17,68,29
구로5동_001_3,43,31,42,77,126,17
구로5동_005_1,51,9,5,12,12,25
구로5동_006_1,21,14,18,12,38,19
구로5동_016_1,8,8,20,35,28,49
구로5동_016_2,43,16,34,51,62,36
구로5동_029_1,19,9,6,8,29,5
구로5동_038_1,34,18,13,33,23,31
구로5동_039_1,54,20,22,45,67,26
구로5동_040_1,49,45,57,63,64,24
구로5동_040_2,20,0,12,12,19,13
구로5동_050_1,29,10,13,23,26,19
구산동_029_1,10,13,17,16,29,29
구산동_043_1,12,8,30,26,16,22
구산동_060_1,16,3,5,12,9,3
구의1동_004_1,57,31,16,20,36,16
구의1동_008_1,91,38,28,42,46,39
구의1동_011_1,18,15,35,25,48,43
구의2동_004_1,25,9,3,6,14,13
구의2동_007_1,26,12,7,10,15,22
구의2동_031_1,32,29,4,7,8,12
구의2동_035_1,44,33,28,31,34,44
구의2동_045_1,20,4,5,8,5,12
구의2동_049_1,51,19,6,22,40,38
구의3동_001_3,6,9,9,33,69,26
구의3동_001_4,14,24,24,25,61,52
구의3동_004_2,6,8,3,5,14,16
구의3동_006_1,56,9,5,20,19,19
구의3동_009_2,19,6,4,7,37,19
구의3동_009_3,0,0,4,6,4,6
구의3동_021_1,22,12,37,33,27,61
구의3동_044_1,38,25,32,56,72,73
구의3동_048_1,12,11,6,17,13,17
구의3동_051_1,4,4,0,7,5,2
군자동_003_1,71,42,17,52,52,12
